extension(um),extension/L,force(pN),Lpeff(nm)
0.01105,0.00279181,0.000344578,50
0.0111,0.00280445,0.000346138,50
0.01115,0.00281708,0.000347698,50
0.0112,0.00282971,0.000349258,50
0.01125,0.00284234,0.000350818,50
0.0113,0.00285498,0.000352378,50
0.01135,0.00286761,0.000353937,50
0.0114,0.00288024,0.000355497,50
0.01145,0.00289288,0.000357057,50
0.0115,0.00290551,0.000358617,50
0.01155,0.00291814,0.000360177,50
0.0116,0.00293077,0.000361737,50
0.01165,0.00294341,0.000363297,50
0.0117,0.00295604,0.000364857,50
0.01175,0.00296867,0.000366417,50
0.0118,0.0029813,0.000367976,50
0.01185,0.00299394,0.000369536,50
0.0119,0.00300657,0.000371096,50
0.01195,0.0030192,0.000372656,50
0.012,0.00303183,0.000374216,50
0.01205,0.00304447,0.000375776,50
0.0121,0.0030571,0.000377336,50
0.01215,0.00306973,0.000378896,50
0.0122,0.00308236,0.000380456,50
0.01225,0.003095,0.000382016,50
0.0123,0.00310763,0.000383576,50
0.01235,0.00312026,0.000385136,50
0.0124,0.0031329,0.000386696,50
0.01245,0.00314553,0.000388256,50
0.0125,0.00315816,0.000389816,50
0.01255,0.00317079,0.000391376,50
0.0126,0.00318343,0.000392936,50
0.01265,0.00319606,0.000394496,50
0.0127,0.00320869,0.000396056,50
0.01275,0.00322132,0.000397616,50
0.0128,0.00323396,0.000399176,50
0.01285,0.00324659,0.000400736,50
0.0129,0.00325922,0.000402296,50
0.01295,0.00327185,0.000403856,50
0.013,0.00328449,0.000405416,50
0.01305,0.00329712,0.000406976,50
0.0131,0.00330975,0.000408536,50
0.01315,0.00332239,0.000410096,50
0.0132,0.00333502,0.000411656,50
0.01325,0.00334765,0.000413216,50
0.0133,0.00336028,0.000414777,50
0.01335,0.00337292,0.000416337,50
0.0134,0.00338555,0.000417897,50
0.01345,0.00339818,0.000419457,50
0.0135,0.00341081,0.000421017,50
0.01355,0.00342345,0.000422577,50
0.0136,0.00343608,0.000424137,50
0.01365,0.00344871,0.000425697,50
0.0137,0.00346134,0.000427257,50
0.01375,0.00347398,0.000428818,50
0.0138,0.00348661,0.000430378,50
0.01385,0.00349924,0.000431938,50
0.0139,0.00351187,0.000433498,50
0.01395,0.00352451,0.000435058,50
0.014,0.00353714,0.000436618,50
0.01405,0.00354977,0.000438178,50
0.0141,0.00356241,0.000439739,50
0.01415,0.00357504,0.000441299,50
0.0142,0.00358767,0.000442859,50
0.01425,0.0036003,0.000444419,50
0.0143,0.00361294,0.000445979,50
0.01435,0.00362557,0.00044754,50
0.0144,0.0036382,0.0004491,50
0.01445,0.00365083,0.00045066,50
0.0145,0.00366347,0.00045222,50
0.01455,0.0036761,0.00045378,50
0.0146,0.00368873,0.000455341,50
0.01465,0.00370136,0.000456901,50
0.0147,0.003714,0.000458461,50
0.01475,0.00372663,0.000460021,50
0.0148,0.00373926,0.000461582,50
0.01485,0.00375189,0.000463142,50
0.0149,0.00376453,0.000464702,50
0.01495,0.00377716,0.000466262,50
0.015,0.00378979,0.000467823,50
0.01505,0.00380243,0.000469383,50
0.0151,0.00381506,0.000470943,50
0.01515,0.00382769,0.000472504,50
0.0152,0.00384032,0.000474064,50
0.01525,0.00385296,0.000475624,50
0.0153,0.00386559,0.000477185,50
0.01535,0.00387822,0.000478745,50
0.0154,0.00389085,0.000480305,50
0.01545,0.00390349,0.000481866,50
0.0155,0.00391612,0.000483426,50
0.01555,0.00392875,0.000484986,50
0.0156,0.00394138,0.000486547,50
0.01565,0.00395402,0.000488107,50
0.0157,0.00396665,0.000489667,50
0.01575,0.00397928,0.000491228,50
0.0158,0.00399192,0.000492788,50
0.01585,0.00400455,0.000494348,50
0.0159,0.00401718,0.000495909,50
0.01595,0.00402981,0.000497469,50
0.016,0.00404245,0.000499029,50
0.01605,0.00405508,0.00050059,50
0.0161,0.00406771,0.00050215,50
0.01615,0.00408034,0.000503711,50
0.0162,0.00409298,0.000505271,50
0.01625,0.00410561,0.000506832,50
0.0163,0.00411824,0.000508392,50
0.01635,0.00413087,0.000509952,50
0.0164,0.00414351,0.000511513,50
0.01645,0.00415614,0.000513073,50
0.0165,0.00416877,0.000514634,50
0.01655,0.0041814,0.000516194,50
0.0166,0.00419404,0.000517755,50
0.01665,0.00420667,0.000519315,50
0.0167,0.0042193,0.000520876,50
0.01675,0.00423194,0.000522436,50
0.0168,0.00424457,0.000523996,50
0.01685,0.0042572,0.000525557,50
0.0169,0.00426983,0.000527117,50
0.01695,0.00428247,0.000528678,50
0.017,0.0042951,0.000530238,50
0.01705,0.00430773,0.000531799,50
0.0171,0.00432036,0.000533359,50
0.01715,0.004333,0.00053492,50
0.0172,0.00434563,0.000536481,50
0.01725,0.00435826,0.000538041,50
0.0173,0.00437089,0.000539602,50
0.01735,0.00438353,0.000541162,50
0.0174,0.00439616,0.000542723,50
0.01745,0.00440879,0.000544283,50
0.0175,0.00442142,0.000545844,50
0.01755,0.00443406,0.000547404,50
0.0176,0.00444669,0.000548965,50
0.01765,0.00445932,0.000550525,50
0.0177,0.00447196,0.000552086,50
0.01775,0.00448459,0.000553647,50
0.0178,0.00449722,0.000555207,50
0.01785,0.00450985,0.000556768,50
0.0179,0.00452249,0.000558328,50
0.01795,0.00453512,0.000559889,50
0.018,0.00454775,0.00056145,50
0.01805,0.00456038,0.00056301,50
0.0181,0.00457302,0.000564571,50
0.01815,0.00458565,0.000566132,50
0.0182,0.00459828,0.000567692,50
0.01825,0.00461091,0.000569253,50
0.0183,0.00462355,0.000570813,50
0.01835,0.00463618,0.000572374,50
0.0184,0.00464881,0.000573935,50
0.01845,0.00466145,0.000575495,50
0.0185,0.00467408,0.000577056,50
0.01855,0.00468671,0.000578617,50
0.0186,0.00469934,0.000580177,50
0.01865,0.00471198,0.000581738,50
0.0187,0.00472461,0.000583299,50
0.01875,0.00473724,0.00058486,50
0.0188,0.00474987,0.00058642,50
0.01885,0.00476251,0.000587981,50
0.0189,0.00477514,0.000589542,50
0.01895,0.00478777,0.000591102,50
0.019,0.0048004,0.000592663,50
0.01905,0.00481304,0.000594224,50
0.0191,0.00482567,0.000595785,50
0.01915,0.0048383,0.000597345,50
0.0192,0.00485093,0.000598906,50
0.01925,0.00486357,0.000600467,50
0.0193,0.0048762,0.000602028,50
0.01935,0.00488883,0.000603588,50
0.0194,0.00490147,0.000605149,50
0.01945,0.0049141,0.00060671,50
0.0195,0.00492673,0.000608271,50
0.01955,0.00493936,0.000609831,50
0.0196,0.004952,0.000611392,50
0.01965,0.00496463,0.000612953,50
0.0197,0.00497726,0.000614514,50
0.01975,0.00498989,0.000616075,50
0.0198,0.00500253,0.000617635,50
0.01985,0.00501516,0.000619196,50
0.0199,0.00502779,0.000620757,50
0.01995,0.00504042,0.000622318,50
0.02,0.00505306,0.000623879,50
0.02005,0.00506569,0.00062544,50
0.0201,0.00507832,0.000627,50
0.02015,0.00509096,0.000628561,50
0.0202,0.00510359,0.000630122,50
0.02025,0.00511622,0.000631683,50
0.0203,0.00512885,0.000633244,50
0.02035,0.00514149,0.000634805,50
0.0204,0.00515412,0.000636366,50
0.02045,0.00516675,0.000637927,50
0.0205,0.00517938,0.000639487,50
0.02055,0.00519202,0.000641048,50
0.0206,0.00520465,0.000642609,50
0.02065,0.00521728,0.00064417,50
0.0207,0.00522991,0.000645731,50
0.02075,0.00524255,0.000647292,50
0.0208,0.00525518,0.000648853,50
0.02085,0.00526781,0.000650414,50
0.0209,0.00528044,0.000651975,50
0.02095,0.00529308,0.000653536,50
0.021,0.00530571,0.000655097,50
0.02105,0.00531834,0.000656658,50
0.0211,0.00533098,0.000658219,50
0.02115,0.00534361,0.000659779,50
0.0212,0.00535624,0.00066134,50
0.02125,0.00536887,0.000662901,50
0.0213,0.00538151,0.000664462,50
0.02135,0.00539414,0.000666023,50
0.0214,0.00540677,0.000667584,50
0.02145,0.0054194,0.000669145,50
0.0215,0.00543204,0.000670706,50
0.02155,0.00544467,0.000672267,50
0.0216,0.0054573,0.000673828,50
0.02165,0.00546993,0.000675389,50
0.0217,0.00548257,0.00067695,50
